,size_mb,database
617,4.39,CMMD
618,4.39,CMMD
619,4.39,CMMD
620,4.39,CMMD
621,4.39,CMMD
622,4.39,CMMD
623,4.39,CMMD
624,4.39,CMMD
625,4.39,CMMD
626,4.39,CMMD
627,4.39,CMMD
628,4.39,CMMD
629,4.39,CMMD
630,4.39,CMMD
631,4.39,CMMD
632,4.39,CMMD
633,4.39,CMMD
634,4.39,CMMD
635,4.39,CMMD
636,4.39,CMMD
637,4.39,CMMD
638,4.39,CMMD
639,4.39,CMMD
640,4.39,CMMD
641,4.39,CMMD
642,4.39,CMMD
643,4.39,CMMD
644,4.39,CMMD
645,4.39,CMMD
646,4.39,CMMD
647,4.39,CMMD
648,4.39,CMMD
649,4.39,CMMD
650,4.39,CMMD
651,4.39,CMMD
652,4.39,CMMD
653,4.39,CMMD
654,4.39,CMMD
655,4.39,CMMD
656,4.39,CMMD
657,4.39,CMMD
658,4.39,CMMD
659,4.39,CMMD
660,4.39,CMMD
661,4.39,CMMD
662,4.39,CMMD
663,4.39,CMMD
664,4.39,CMMD
665,4.39,CMMD
666,4.39,CMMD
667,4.39,CMMD
668,4.39,CMMD
669,4.39,CMMD
670,4.39,CMMD
671,4.39,CMMD
672,4.39,CMMD
673,4.39,CMMD
674,4.39,CMMD
675,4.39,CMMD
676,4.39,CMMD
677,4.39,CMMD
678,4.39,CMMD
679,4.39,CMMD
680,4.39,CMMD
681,4.39,CMMD
682,4.39,CMMD
683,4.39,CMMD
684,4.39,CMMD
685,4.39,CMMD
686,4.39,CMMD
687,4.39,CMMD
688,4.39,CMMD
689,4.39,CMMD
690,4.39,CMMD
691,4.39,CMMD
692,4.39,CMMD
693,4.39,CMMD
694,4.39,CMMD
695,4.39,CMMD
696,4.39,CMMD
697,4.39,CMMD
698,4.39,CMMD
699,4.39,CMMD
700,4.39,CMMD
701,4.39,CMMD
702,4.39,CMMD
703,4.39,CMMD
704,4.39,CMMD
705,4.39,CMMD
706,4.39,CMMD
707,4.39,CMMD
708,4.39,CMMD
709,4.39,CMMD
710,4.39,CMMD
711,4.39,CMMD
712,4.39,CMMD
713,4.39,CMMD
714,4.39,CMMD
715,4.39,CMMD
716,4.39,CMMD
717,4.39,CMMD
718,4.39,CMMD
719,4.39,CMMD
720,4.39,CMMD
721,4.39,CMMD
722,4.39,CMMD
723,4.39,CMMD
724,4.39,CMMD
725,4.39,CMMD
726,4.39,CMMD
727,4.39,CMMD
728,4.39,CMMD
729,4.39,CMMD
730,4.39,CMMD
731,4.39,CMMD
732,4.39,CMMD
733,4.39,CMMD
734,4.39,CMMD
735,4.39,CMMD
736,4.39,CMMD
737,4.39,CMMD
738,4.39,CMMD
739,4.39,CMMD
740,4.39,CMMD
741,4.39,CMMD
742,4.39,CMMD
743,4.39,CMMD
744,4.39,CMMD
745,4.39,CMMD
746,4.39,CMMD
747,4.39,CMMD
748,4.39,CMMD
749,4.39,CMMD
750,4.39,CMMD
751,4.39,CMMD
752,4.39,CMMD
753,4.39,CMMD
754,4.39,CMMD
755,4.39,CMMD
756,4.39,CMMD
757,4.39,CMMD
758,4.39,CMMD
759,4.39,CMMD
760,4.39,CMMD
761,4.39,CMMD
762,4.39,CMMD
763,4.39,CMMD
764,4.39,CMMD
765,4.39,CMMD
766,4.39,CMMD
767,4.39,CMMD
768,4.39,CMMD
769,4.39,CMMD
770,4.39,CMMD
771,4.39,CMMD
772,4.39,CMMD
773,4.39,CMMD
774,4.39,CMMD
775,4.39,CMMD
776,4.39,CMMD
777,4.39,CMMD
778,4.39,CMMD
779,4.39,CMMD
780,4.39,CMMD
781,4.39,CMMD
782,4.39,CMMD
783,4.39,CMMD
784,4.39,CMMD
785,4.39,CMMD
786,4.39,CMMD
787,4.39,CMMD
788,4.39,CMMD
789,4.39,CMMD
790,4.39,CMMD
791,4.39,CMMD
792,4.39,CMMD
793,4.39,CMMD
794,4.39,CMMD
795,4.39,CMMD
796,4.39,CMMD
797,4.39,CMMD
798,4.39,CMMD
799,4.39,CMMD
800,4.39,CMMD
801,4.39,CMMD
802,4.39,CMMD
803,4.39,CMMD
804,4.39,CMMD
805,4.39,CMMD
806,4.39,CMMD
807,4.39,CMMD
808,4.39,CMMD
809,4.39,CMMD
810,4.39,CMMD
811,4.39,CMMD
812,4.39,CMMD
813,4.39,CMMD
814,4.39,CMMD
815,4.39,CMMD
816,4.39,CMMD
817,4.39,CMMD
818,4.39,CMMD
819,4.39,CMMD
820,4.39,CMMD
821,4.39,CMMD
822,4.39,CMMD
823,4.39,CMMD
824,4.39,CMMD
825,4.39,CMMD
826,4.39,CMMD
827,4.39,CMMD
828,4.39,CMMD
829,4.39,CMMD
830,4.39,CMMD
831,4.39,CMMD
832,4.39,CMMD
833,4.39,CMMD
834,4.39,CMMD
835,4.39,CMMD
836,4.39,CMMD
837,4.39,CMMD
838,4.39,CMMD
839,4.39,CMMD
840,4.39,CMMD
841,4.39,CMMD
842,4.39,CMMD
843,4.39,CMMD
844,4.39,CMMD
845,4.39,CMMD
846,4.39,CMMD
847,4.39,CMMD
848,4.39,CMMD
849,4.39,CMMD
850,4.39,CMMD
851,4.39,CMMD
852,4.39,CMMD
853,4.39,CMMD
854,4.39,CMMD
855,4.39,CMMD
856,4.39,CMMD
857,4.39,CMMD
858,4.39,CMMD
859,4.39,CMMD
860,4.39,CMMD
861,4.39,CMMD
862,4.39,CMMD
863,4.39,CMMD
864,4.39,CMMD
865,4.39,CMMD
866,4.39,CMMD
867,4.39,CMMD
868,4.39,CMMD
869,4.39,CMMD
870,4.39,CMMD
871,4.39,CMMD
872,4.39,CMMD
873,4.39,CMMD
874,4.39,CMMD
875,4.39,CMMD
876,4.39,CMMD
877,4.39,CMMD
878,4.39,CMMD
879,4.39,CMMD
880,4.39,CMMD
881,4.39,CMMD
882,4.39,CMMD
883,4.39,CMMD
884,4.39,CMMD
885,4.39,CMMD
886,4.39,CMMD
887,4.39,CMMD
888,4.39,CMMD
889,4.39,CMMD
890,4.39,CMMD
891,4.39,CMMD
892,4.39,CMMD
893,4.39,CMMD
894,4.39,CMMD
895,4.39,CMMD
896,4.39,CMMD
897,4.39,CMMD
898,4.39,CMMD
899,4.39,CMMD
900,4.39,CMMD
901,4.39,CMMD
902,4.39,CMMD
903,4.39,CMMD
904,4.39,CMMD
905,4.39,CMMD
906,4.39,CMMD
907,4.39,CMMD
908,4.39,CMMD
909,4.39,CMMD
910,4.39,CMMD
911,4.39,CMMD
912,4.39,CMMD
913,4.39,CMMD
914,4.39,CMMD
915,4.39,CMMD
916,4.39,CMMD
917,4.39,CMMD
918,4.39,CMMD
919,4.39,CMMD
920,4.39,CMMD
921,4.39,CMMD
922,4.39,CMMD
923,4.39,CMMD
924,4.39,CMMD
925,4.39,CMMD
926,4.39,CMMD
927,4.39,CMMD
928,4.39,CMMD
929,4.39,CMMD
930,4.39,CMMD
931,4.39,CMMD
932,4.39,CMMD
933,4.39,CMMD
934,4.39,CMMD
935,4.39,CMMD
936,4.39,CMMD
937,4.39,CMMD
938,4.39,CMMD
939,4.39,CMMD
940,4.39,CMMD
941,4.39,CMMD
942,4.39,CMMD
943,4.39,CMMD
944,4.39,CMMD
945,4.39,CMMD
946,4.39,CMMD
947,4.39,CMMD
948,4.39,CMMD
949,4.39,CMMD
950,4.39,CMMD
951,4.39,CMMD
952,4.39,CMMD
953,4.39,CMMD
954,4.39,CMMD
955,4.39,CMMD
956,4.39,CMMD
957,4.39,CMMD
958,4.39,CMMD
959,4.39,CMMD
960,4.39,CMMD
961,4.39,CMMD
962,4.39,CMMD
963,4.39,CMMD
964,4.39,CMMD
965,4.39,CMMD
966,4.39,CMMD
967,4.39,CMMD
968,4.39,CMMD
969,4.39,CMMD
970,4.39,CMMD
971,4.39,CMMD
972,4.39,CMMD
973,4.39,CMMD
974,4.39,CMMD
975,4.39,CMMD
976,4.39,CMMD
977,4.39,CMMD
978,4.39,CMMD
979,4.39,CMMD
980,4.39,CMMD
981,4.39,CMMD
982,4.39,CMMD
983,4.39,CMMD
984,4.39,CMMD
985,4.39,CMMD
986,4.39,CMMD
987,4.39,CMMD
988,4.39,CMMD
989,4.39,CMMD
990,4.39,CMMD
991,4.39,CMMD
992,4.39,CMMD
993,4.39,CMMD
994,4.39,CMMD
995,4.39,CMMD
996,4.39,CMMD
997,4.39,CMMD
998,4.39,CMMD
999,4.39,CMMD
1000,4.39,CMMD
1001,4.39,CMMD
1002,4.39,CMMD
1003,4.39,CMMD
1004,4.39,CMMD
1005,4.39,CMMD
1006,4.39,CMMD
1007,4.39,CMMD
1008,4.39,CMMD
1009,4.39,CMMD
1010,4.39,CMMD
1011,4.39,CMMD
1012,4.39,CMMD
1013,4.39,CMMD
1014,4.39,CMMD
1015,4.39,CMMD
1016,4.39,CMMD
1017,4.39,CMMD
1018,4.39,CMMD
1019,4.39,CMMD
1020,4.39,CMMD
1021,4.39,CMMD
1022,4.39,CMMD
1023,4.39,CMMD
1024,4.39,CMMD
1025,4.39,CMMD
1026,4.39,CMMD
1027,4.39,CMMD
1028,4.39,CMMD
1029,4.39,CMMD
1030,4.39,CMMD
1031,4.39,CMMD
1032,4.39,CMMD
1033,4.39,CMMD
1034,4.39,CMMD
1035,4.39,CMMD
1036,4.39,CMMD
1037,4.39,CMMD
1038,4.39,CMMD
1039,4.39,CMMD
1040,4.39,CMMD
1041,4.39,CMMD
1042,4.39,CMMD
1043,4.39,CMMD
1044,4.39,CMMD
1045,4.39,CMMD
1046,4.39,CMMD
1047,4.39,CMMD
1048,4.39,CMMD
1049,4.39,CMMD
1050,4.39,CMMD
1051,4.39,CMMD
1052,4.39,CMMD
1053,4.39,CMMD
1054,4.39,CMMD
1055,4.39,CMMD
1056,4.39,CMMD
1057,4.39,CMMD
1058,4.39,CMMD
1059,4.39,CMMD
1060,4.39,CMMD
1061,4.39,CMMD
1062,4.39,CMMD
1063,4.39,CMMD
1064,4.39,CMMD
1065,4.39,CMMD
1066,4.39,CMMD
1067,4.39,CMMD
1068,4.39,CMMD
1069,4.39,CMMD
1070,4.39,CMMD
1071,4.39,CMMD
1072,4.39,CMMD
1073,4.39,CMMD
1074,4.39,CMMD
1075,4.39,CMMD
1076,4.39,CMMD
1077,4.39,CMMD
1078,4.39,CMMD
1079,4.39,CMMD
1080,4.39,CMMD
1081,4.39,CMMD
1082,4.39,CMMD
1083,4.39,CMMD
1084,4.39,CMMD
1085,4.39,CMMD
1086,4.39,CMMD
1087,4.39,CMMD
1088,4.39,CMMD
1089,4.39,CMMD
1090,4.39,CMMD
1091,4.39,CMMD
1092,4.39,CMMD
1093,4.39,CMMD
1094,4.39,CMMD
1095,4.39,CMMD
1096,4.39,CMMD
1097,4.39,CMMD
1098,4.39,CMMD
1099,4.39,CMMD
1100,4.39,CMMD
1101,4.39,CMMD
1102,4.39,CMMD
1103,4.39,CMMD
1104,4.39,CMMD
1105,4.39,CMMD
1106,4.39,CMMD
1107,4.39,CMMD
1108,4.39,CMMD
1109,4.39,CMMD
1110,4.39,CMMD
1111,4.39,CMMD
1112,4.39,CMMD
1113,4.39,CMMD
1114,4.39,CMMD
1115,4.39,CMMD
1116,4.39,CMMD
1117,4.39,CMMD
1118,4.39,CMMD
1119,4.39,CMMD
1120,4.39,CMMD
1121,4.39,CMMD
1122,4.39,CMMD
1123,4.39,CMMD
1124,4.39,CMMD
1125,4.39,CMMD
1126,4.39,CMMD
1127,4.39,CMMD
1128,4.39,CMMD
1129,4.39,CMMD
1130,4.39,CMMD
1131,4.39,CMMD
1132,4.39,CMMD
1133,4.39,CMMD
1134,4.39,CMMD
1135,4.39,CMMD
1136,4.39,CMMD
1137,4.39,CMMD
1138,4.39,CMMD
1139,4.39,CMMD
1140,4.39,CMMD
1141,4.39,CMMD
1142,4.39,CMMD
1143,4.39,CMMD
1144,4.39,CMMD
1145,4.39,CMMD
1146,4.39,CMMD
1147,4.39,CMMD
1148,4.39,CMMD
1149,4.39,CMMD
1150,4.39,CMMD
1151,4.39,CMMD
1152,4.39,CMMD
1153,4.39,CMMD
1154,4.39,CMMD
1155,4.39,CMMD
1156,4.39,CMMD
1157,4.39,CMMD
1158,4.39,CMMD
1159,4.39,CMMD
1160,4.39,CMMD
1161,4.39,CMMD
1162,4.39,CMMD
1163,4.39,CMMD
1164,4.39,CMMD
1165,4.39,CMMD
1166,4.39,CMMD
1167,4.39,CMMD
1168,4.39,CMMD
1169,4.39,CMMD
1170,4.39,CMMD
1171,4.39,CMMD
1172,4.39,CMMD
1173,4.39,CMMD
1174,4.39,CMMD
1175,4.39,CMMD
1176,4.39,CMMD
1177,4.39,CMMD
1178,4.39,CMMD
1179,4.39,CMMD
1180,4.39,CMMD
1181,4.39,CMMD
1182,4.39,CMMD
1183,4.39,CMMD
1184,4.39,CMMD
1185,4.39,CMMD
1186,4.39,CMMD
1187,4.39,CMMD
1188,4.39,CMMD
1189,4.39,CMMD
1190,4.39,CMMD
1191,4.39,CMMD
1192,4.39,CMMD
1193,4.39,CMMD
1194,4.39,CMMD
1195,4.39,CMMD
1196,4.39,CMMD
1197,4.39,CMMD
1198,4.39,CMMD
1199,4.39,CMMD
1200,4.39,CMMD
1201,4.39,CMMD
1202,4.39,CMMD
1203,4.39,CMMD
1204,4.39,CMMD
1205,4.39,CMMD
1206,4.39,CMMD
1207,4.39,CMMD
1208,4.39,CMMD
1209,4.39,CMMD
1210,4.39,CMMD
1211,4.39,CMMD
1212,4.39,CMMD
1213,4.39,CMMD
1214,4.39,CMMD
1215,4.39,CMMD
1216,4.39,CMMD
1217,4.39,CMMD
1218,4.39,CMMD
1219,4.39,CMMD
1220,4.39,CMMD
1221,4.39,CMMD
1222,4.39,CMMD
1223,4.39,CMMD
1224,4.39,CMMD
1225,4.39,CMMD
1226,4.39,CMMD
1227,4.39,CMMD
1228,4.39,CMMD
1229,4.39,CMMD
1230,4.39,CMMD
1231,4.39,CMMD
1232,4.39,CMMD
1233,4.39,CMMD
1234,4.39,CMMD
1235,4.39,CMMD
1236,4.39,CMMD
1237,4.39,CMMD
1238,4.39,CMMD
1239,4.39,CMMD
1240,4.39,CMMD
1241,4.39,CMMD
1242,4.39,CMMD
1243,4.39,CMMD
1244,4.39,CMMD
1245,4.39,CMMD
1246,4.39,CMMD
1247,4.39,CMMD
