size_mb,database
0.55,BUSI_with_GT
0.56,BUSI_with_GT
0.55,BUSI_with_GT
0.54,BUSI_with_GT
0.54,BUSI_with_GT
0.78,BUSI_with_GT
0.49,BUSI_with_GT
0.54,BUSI_with_GT
0.57,BUSI_with_GT
0.54,BUSI_with_GT
0.54,BUSI_with_GT
0.54,BUSI_with_GT
0.54,BUSI_with_GT
0.49,BUSI_with_GT
0.5,BUSI_with_GT
0.54,BUSI_with_GT
1.34,BUSI_with_GT
0.49,BUSI_with_GT
0.5,BUSI_with_GT
0.49,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.77,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.77,BUSI_with_GT
1.76,BUSI_with_GT
0.79,BUSI_with_GT
0.71,BUSI_with_GT
0.78,BUSI_with_GT
0.95,BUSI_with_GT
0.93,BUSI_with_GT
0.93,BUSI_with_GT
0.91,BUSI_with_GT
0.55,BUSI_with_GT
0.54,BUSI_with_GT
0.55,BUSI_with_GT
0.78,BUSI_with_GT
0.54,BUSI_with_GT
0.56,BUSI_with_GT
0.54,BUSI_with_GT
0.55,BUSI_with_GT
0.55,BUSI_with_GT
0.55,BUSI_with_GT
0.49,BUSI_with_GT
0.55,BUSI_with_GT
0.55,BUSI_with_GT
0.54,BUSI_with_GT
0.79,BUSI_with_GT
0.77,BUSI_with_GT
0.54,BUSI_with_GT
0.53,BUSI_with_GT
0.55,BUSI_with_GT
0.55,BUSI_with_GT
0.54,BUSI_with_GT
0.54,BUSI_with_GT
0.55,BUSI_with_GT
1.36,BUSI_with_GT
0.78,BUSI_with_GT
1.12,BUSI_with_GT
0.78,BUSI_with_GT
0.76,BUSI_with_GT
0.82,BUSI_with_GT
0.81,BUSI_with_GT
0.78,BUSI_with_GT
0.82,BUSI_with_GT
0.78,BUSI_with_GT
0.77,BUSI_with_GT
0.81,BUSI_with_GT
0.77,BUSI_with_GT
0.78,BUSI_with_GT
1.2,BUSI_with_GT
0.8,BUSI_with_GT
0.76,BUSI_with_GT
0.82,BUSI_with_GT
0.79,BUSI_with_GT
1.09,BUSI_with_GT
1.07,BUSI_with_GT
1.4,BUSI_with_GT
1.19,BUSI_with_GT
1.17,BUSI_with_GT
1.15,BUSI_with_GT
0.78,BUSI_with_GT
1.14,BUSI_with_GT
1.1,BUSI_with_GT
1.12,BUSI_with_GT
1.33,BUSI_with_GT
0.75,BUSI_with_GT
1.14,BUSI_with_GT
1.37,BUSI_with_GT
0.81,BUSI_with_GT
0.7,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.98,BUSI_with_GT
1.15,BUSI_with_GT
0.75,BUSI_with_GT
0.79,BUSI_with_GT
0.75,BUSI_with_GT
0.79,BUSI_with_GT
0.68,BUSI_with_GT
1.24,BUSI_with_GT
1.74,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
1.37,BUSI_with_GT
0.75,BUSI_with_GT
0.74,BUSI_with_GT
1.19,BUSI_with_GT
1.1,BUSI_with_GT
1.14,BUSI_with_GT
0.78,BUSI_with_GT
0.75,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.75,BUSI_with_GT
1.18,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
0.76,BUSI_with_GT
0.78,BUSI_with_GT
0.75,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
1.19,BUSI_with_GT
1.35,BUSI_with_GT
0.78,BUSI_with_GT
0.75,BUSI_with_GT
1.34,BUSI_with_GT
0.77,BUSI_with_GT
0.76,BUSI_with_GT
0.76,BUSI_with_GT
1.33,BUSI_with_GT
0.76,BUSI_with_GT
1.3,BUSI_with_GT
0.76,BUSI_with_GT
1.77,BUSI_with_GT
0.8,BUSI_with_GT
1.29,BUSI_with_GT
1.29,BUSI_with_GT
1.04,BUSI_with_GT
0.82,BUSI_with_GT
0.97,BUSI_with_GT
0.76,BUSI_with_GT
1.33,BUSI_with_GT
0.8,BUSI_with_GT
1.31,BUSI_with_GT
1.58,BUSI_with_GT
0.75,BUSI_with_GT
1.36,BUSI_with_GT
1.19,BUSI_with_GT
1.04,BUSI_with_GT
1.2,BUSI_with_GT
0.78,BUSI_with_GT
1.06,BUSI_with_GT
0.6,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
0.77,BUSI_with_GT
1.11,BUSI_with_GT
1.36,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.77,BUSI_with_GT
1.34,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.77,BUSI_with_GT
0.78,BUSI_with_GT
0.8,BUSI_with_GT
0.78,BUSI_with_GT
1.06,BUSI_with_GT
1.35,BUSI_with_GT
0.62,BUSI_with_GT
1.71,BUSI_with_GT
1.35,BUSI_with_GT
1.51,BUSI_with_GT
0.75,BUSI_with_GT
0.75,BUSI_with_GT
1.33,BUSI_with_GT
0.76,BUSI_with_GT
1.32,BUSI_with_GT
0.81,BUSI_with_GT
1.12,BUSI_with_GT
0.79,BUSI_with_GT
0.77,BUSI_with_GT
0.77,BUSI_with_GT
0.77,BUSI_with_GT
0.89,BUSI_with_GT
0.88,BUSI_with_GT
0.76,BUSI_with_GT
0.82,BUSI_with_GT
1.34,BUSI_with_GT
0.75,BUSI_with_GT
0.55,BUSI_with_GT
0.76,BUSI_with_GT
0.92,BUSI_with_GT
0.78,BUSI_with_GT
0.71,BUSI_with_GT
1.35,BUSI_with_GT
1.35,BUSI_with_GT
1.35,BUSI_with_GT
0.79,BUSI_with_GT
1.34,BUSI_with_GT
1.36,BUSI_with_GT
1.34,BUSI_with_GT
0.82,BUSI_with_GT
1.54,BUSI_with_GT
0.36,BUSI_with_GT
0.38,BUSI_with_GT
0.81,BUSI_with_GT
0.86,BUSI_with_GT
1.41,BUSI_with_GT
1.72,BUSI_with_GT
0.78,BUSI_with_GT
1.34,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
1.36,BUSI_with_GT
1.34,BUSI_with_GT
0.69,BUSI_with_GT
1.2,BUSI_with_GT
0.86,BUSI_with_GT
0.8,BUSI_with_GT
0.8,BUSI_with_GT
0.72,BUSI_with_GT
1.2,BUSI_with_GT
1.75,BUSI_with_GT
1.08,BUSI_with_GT
1.02,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
1.19,BUSI_with_GT
1.74,BUSI_with_GT
0.81,BUSI_with_GT
1.34,BUSI_with_GT
1.17,BUSI_with_GT
1.08,BUSI_with_GT
0.8,BUSI_with_GT
0.78,BUSI_with_GT
0.9,BUSI_with_GT
0.75,BUSI_with_GT
1.28,BUSI_with_GT
0.78,BUSI_with_GT
1.35,BUSI_with_GT
1.32,BUSI_with_GT
1.47,BUSI_with_GT
1.54,BUSI_with_GT
1.32,BUSI_with_GT
1.33,BUSI_with_GT
1.7,BUSI_with_GT
1.4,BUSI_with_GT
0.78,BUSI_with_GT
1.34,BUSI_with_GT
0.79,BUSI_with_GT
1.32,BUSI_with_GT
0.83,BUSI_with_GT
1.33,BUSI_with_GT
0.78,BUSI_with_GT
0.81,BUSI_with_GT
0.54,BUSI_with_GT
0.8,BUSI_with_GT
1.48,BUSI_with_GT
1.51,BUSI_with_GT
0.81,BUSI_with_GT
0.82,BUSI_with_GT
0.78,BUSI_with_GT
0.92,BUSI_with_GT
0.78,BUSI_with_GT
0.91,BUSI_with_GT
0.78,BUSI_with_GT
0.56,BUSI_with_GT
0.79,BUSI_with_GT
0.59,BUSI_with_GT
0.78,BUSI_with_GT
1.08,BUSI_with_GT
0.45,BUSI_with_GT
0.76,BUSI_with_GT
0.76,BUSI_with_GT
0.8,BUSI_with_GT
0.8,BUSI_with_GT
0.79,BUSI_with_GT
0.56,BUSI_with_GT
0.8,BUSI_with_GT
0.8,BUSI_with_GT
0.78,BUSI_with_GT
0.47,BUSI_with_GT
0.81,BUSI_with_GT
0.78,BUSI_with_GT
0.8,BUSI_with_GT
0.82,BUSI_with_GT
0.88,BUSI_with_GT
0.78,BUSI_with_GT
0.55,BUSI_with_GT
0.77,BUSI_with_GT
0.84,BUSI_with_GT
0.79,BUSI_with_GT
0.7,BUSI_with_GT
0.78,BUSI_with_GT
1.6,BUSI_with_GT
0.19,BUSI_with_GT
0.24,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.33,BUSI_with_GT
0.76,BUSI_with_GT
0.77,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.77,BUSI_with_GT
0.76,BUSI_with_GT
0.75,BUSI_with_GT
0.78,BUSI_with_GT
0.77,BUSI_with_GT
1.31,BUSI_with_GT
0.43,BUSI_with_GT
0.77,BUSI_with_GT
0.72,BUSI_with_GT
1.34,BUSI_with_GT
1.18,BUSI_with_GT
0.77,BUSI_with_GT
0.81,BUSI_with_GT
0.77,BUSI_with_GT
0.8,BUSI_with_GT
0.42,BUSI_with_GT
0.8,BUSI_with_GT
0.72,BUSI_with_GT
1.1,BUSI_with_GT
1.2,BUSI_with_GT
1.09,BUSI_with_GT
1.1,BUSI_with_GT
0.78,BUSI_with_GT
0.5,BUSI_with_GT
0.81,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.77,BUSI_with_GT
1.35,BUSI_with_GT
0.77,BUSI_with_GT
1.1,BUSI_with_GT
0.85,BUSI_with_GT
0.78,BUSI_with_GT
1.1,BUSI_with_GT
0.8,BUSI_with_GT
1.14,BUSI_with_GT
1.07,BUSI_with_GT
0.79,BUSI_with_GT
0.62,BUSI_with_GT
0.76,BUSI_with_GT
0.78,BUSI_with_GT
0.73,BUSI_with_GT
1.21,BUSI_with_GT
0.76,BUSI_with_GT
0.81,BUSI_with_GT
1.21,BUSI_with_GT
0.86,BUSI_with_GT
1.34,BUSI_with_GT
1.03,BUSI_with_GT
0.52,BUSI_with_GT
0.76,BUSI_with_GT
0.74,BUSI_with_GT
0.95,BUSI_with_GT
0.81,BUSI_with_GT
1.34,BUSI_with_GT
1.54,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
0.8,BUSI_with_GT
1.25,BUSI_with_GT
0.72,BUSI_with_GT
0.81,BUSI_with_GT
0.8,BUSI_with_GT
0.61,BUSI_with_GT
1.17,BUSI_with_GT
0.81,BUSI_with_GT
0.71,BUSI_with_GT
1.54,BUSI_with_GT
0.72,BUSI_with_GT
1.36,BUSI_with_GT
0.77,BUSI_with_GT
1.23,BUSI_with_GT
0.72,BUSI_with_GT
0.66,BUSI_with_GT
1.36,BUSI_with_GT
0.81,BUSI_with_GT
0.8,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.81,BUSI_with_GT
0.79,BUSI_with_GT
0.8,BUSI_with_GT
0.61,BUSI_with_GT
0.8,BUSI_with_GT
1.1,BUSI_with_GT
0.82,BUSI_with_GT
0.83,BUSI_with_GT
1.1,BUSI_with_GT
0.69,BUSI_with_GT
0.92,BUSI_with_GT
0.92,BUSI_with_GT
1.82,BUSI_with_GT
0.79,BUSI_with_GT
0.61,BUSI_with_GT
0.76,BUSI_with_GT
0.83,BUSI_with_GT
0.76,BUSI_with_GT
0.93,BUSI_with_GT
1.33,BUSI_with_GT
1.39,BUSI_with_GT
1.34,BUSI_with_GT
0.79,BUSI_with_GT
0.82,BUSI_with_GT
0.92,BUSI_with_GT
0.62,BUSI_with_GT
0.8,BUSI_with_GT
0.77,BUSI_with_GT
0.77,BUSI_with_GT
0.8,BUSI_with_GT
1.35,BUSI_with_GT
1.31,BUSI_with_GT
1.11,BUSI_with_GT
1.15,BUSI_with_GT
1.15,BUSI_with_GT
1.15,BUSI_with_GT
0.62,BUSI_with_GT
1.14,BUSI_with_GT
0.78,BUSI_with_GT
1.17,BUSI_with_GT
1.36,BUSI_with_GT
1.11,BUSI_with_GT
1.62,BUSI_with_GT
1.15,BUSI_with_GT
1.71,BUSI_with_GT
0.8,BUSI_with_GT
0.89,BUSI_with_GT
0.61,BUSI_with_GT
0.93,BUSI_with_GT
0.94,BUSI_with_GT
0.95,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.55,BUSI_with_GT
1.14,BUSI_with_GT
1.41,BUSI_with_GT
1.5,BUSI_with_GT
0.79,BUSI_with_GT
0.6,BUSI_with_GT
0.85,BUSI_with_GT
1.04,BUSI_with_GT
0.78,BUSI_with_GT
1.21,BUSI_with_GT
1.19,BUSI_with_GT
1.07,BUSI_with_GT
1.07,BUSI_with_GT
0.84,BUSI_with_GT
1.37,BUSI_with_GT
1.38,BUSI_with_GT
0.62,BUSI_with_GT
1.38,BUSI_with_GT
0.82,BUSI_with_GT
1.08,BUSI_with_GT
0.78,BUSI_with_GT
0.76,BUSI_with_GT
1.14,BUSI_with_GT
0.81,BUSI_with_GT
0.85,BUSI_with_GT
1.12,BUSI_with_GT
0.8,BUSI_with_GT
0.8,BUSI_with_GT
0.73,BUSI_with_GT
1.19,BUSI_with_GT
1.16,BUSI_with_GT
1.33,BUSI_with_GT
1.33,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
1.36,BUSI_with_GT
0.79,BUSI_with_GT
1.3,BUSI_with_GT
0.78,BUSI_with_GT
1.82,BUSI_with_GT
1.83,BUSI_with_GT
2.0,BUSI_with_GT
1.92,BUSI_with_GT
0.82,BUSI_with_GT
1.38,BUSI_with_GT
1.33,BUSI_with_GT
1.93,BUSI_with_GT
0.8,BUSI_with_GT
1.36,BUSI_with_GT
1.34,BUSI_with_GT
0.77,BUSI_with_GT
1.33,BUSI_with_GT
1.15,BUSI_with_GT
1.73,BUSI_with_GT
0.79,BUSI_with_GT
1.38,BUSI_with_GT
0.78,BUSI_with_GT
1.11,BUSI_with_GT
1.27,BUSI_with_GT
1.34,BUSI_with_GT
1.06,BUSI_with_GT
1.15,BUSI_with_GT
1.8,BUSI_with_GT
0.79,BUSI_with_GT
1.33,BUSI_with_GT
0.77,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
0.8,BUSI_with_GT
1.12,BUSI_with_GT
0.78,BUSI_with_GT
1.75,BUSI_with_GT
0.76,BUSI_with_GT
0.78,BUSI_with_GT
1.32,BUSI_with_GT
1.08,BUSI_with_GT
1.34,BUSI_with_GT
1.05,BUSI_with_GT
1.71,BUSI_with_GT
1.41,BUSI_with_GT
1.15,BUSI_with_GT
0.77,BUSI_with_GT
0.81,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
1.37,BUSI_with_GT
1.35,BUSI_with_GT
1.27,BUSI_with_GT
1.72,BUSI_with_GT
1.74,BUSI_with_GT
1.42,BUSI_with_GT
1.4,BUSI_with_GT
0.75,BUSI_with_GT
1.37,BUSI_with_GT
1.37,BUSI_with_GT
1.4,BUSI_with_GT
1.35,BUSI_with_GT
1.41,BUSI_with_GT
1.38,BUSI_with_GT
0.37,BUSI_with_GT
0.37,BUSI_with_GT
0.37,BUSI_with_GT
0.38,BUSI_with_GT
1.32,BUSI_with_GT
0.36,BUSI_with_GT
0.81,BUSI_with_GT
0.81,BUSI_with_GT
1.47,BUSI_with_GT
0.82,BUSI_with_GT
0.82,BUSI_with_GT
1.37,BUSI_with_GT
0.81,BUSI_with_GT
0.81,BUSI_with_GT
1.43,BUSI_with_GT
1.34,BUSI_with_GT
0.8,BUSI_with_GT
1.36,BUSI_with_GT
1.37,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
1.15,BUSI_with_GT
0.79,BUSI_with_GT
0.81,BUSI_with_GT
0.82,BUSI_with_GT
0.81,BUSI_with_GT
1.35,BUSI_with_GT
0.79,BUSI_with_GT
0.77,BUSI_with_GT
1.9,BUSI_with_GT
0.72,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.79,BUSI_with_GT
1.05,BUSI_with_GT
0.99,BUSI_with_GT
1.36,BUSI_with_GT
0.79,BUSI_with_GT
1.35,BUSI_with_GT
0.79,BUSI_with_GT
1.07,BUSI_with_GT
0.73,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.77,BUSI_with_GT
0.78,BUSI_with_GT
0.78,BUSI_with_GT
0.73,BUSI_with_GT
0.83,BUSI_with_GT
0.83,BUSI_with_GT
0.81,BUSI_with_GT
1.34,BUSI_with_GT
1.19,BUSI_with_GT
1.21,BUSI_with_GT
1.19,BUSI_with_GT
0.79,BUSI_with_GT
0.79,BUSI_with_GT
0.78,BUSI_with_GT
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
0.15,Ultrasound_breast_classification
